	umls_meddra	umls_def
1507	C0595902	Blood chloride decreased
1508	C3203661	Bilirubin total low
1509	C0858078	Serum bicarbonate increased
1510	C0877038	Electrocardiogram poor R-wave progression
1511	C0858259	Nasal discomfort
1512	C1739363	Prostatic hypertrophy
1513	C0008526	Choroiditis
1514	C0027438	Nasopharyngeal disorder
1515	C0268407	Cardiac amyloidosis
1516	C0020564	Hypertrophy
1517	C0020522	Type IV hypersensitivity reaction
1518	C0521991	Stress symptoms
1519	C0858899	Attention concentration difficulty
1520	C0151559	CNS depression NOS
1521	C0041981	Uric acid level increased
1522	C0232498	Abdominal tenderness
1523	C0036835	TIBC
1524	C0032776	Postmenopausal haemorrhage
1525	C0856100	Pancreatitis aggravated
1526	C2712054	Dyspnoea at rest
1527	C0030583	Parotitis
1528	C0424813	Orbital oedema
1529	C0239816	Hand dermatitis
1530	C0343084	Capillary leak syndrome
1531	C0007869	Uterine cervical erosion
1532	C0018213	Basedow's disease
1533	C0948991	Injection site discolouration
1534	C0031024	Dentoalveolar abscess
1535	C1390484	Skull hypoplasia
1536	C0853754	Blood osmolarity increased
1537	C0426636	Defaecation urgency
1538	C0401151	Chronic diarrhea
1539	C0853074	Anxiety NEC
1540	C0038019	Spondylosis
1541	C0018839	Heat exhaustion
1542	C0027720	Nephrosis
1543	C0877266	Upper respiratory tract inflammation
1544	C0013336	Dwarfism
1545	C1868771	Peritoneal cloudy effluent
1546	C0001125	Lactic acidosis
1547	C1610622	Coital bleeding
1548	C0233746	Perceptual disturbance
1549	C0006157	Breech presentation
1550	C0267509	Chronic idiopathic constipation
1551	C1510472	Drug dependence
1552	C0008728	Allergic granulomatous angiitis
1553	C1455782	Vagotonia
1554	C0427008	Stiffness
1555	C0023480	Chronic myelomonocytic leukaemia
1556	C0151735	Injection site reaction
1557	C0155919	Acute pulmonary oedema
1558	C0221165	Diplegia
1559	C0151882	Purpuric rash
1560	C0853018	Blood thyroid stimulating hormone decreased
1561	C0030354	Papilloma
1562	C0853331	Toxic pustuloderma
1563	C0024003	Lordosis
1564	C0014544	Epilepsy
1565	C0410918	Tachycardia foetal
1566	C0271051	Macular oedema
1567	C0151477	Hormone level abnormal
1568	C0042133	Uterine leiomyoma
1569	C0949059	Large intestine polyp
1570	C0020492	Hyperostosis
1571	C2243080	Intestinal necrosis
1572	C0549385	Feeling of body temperature change
1573	C0278106	Ejaculation failure
1574	C0858924	General discomfort
1575	C0017551	Gilbert's syndrome
1576	C0948089	Acute coronary syndrome
1577	C1263960	Diabetic coma
1578	C0019364	Ophthalmic herpes zoster
1579	C0857448	Serum urea increased
1580	C0948808	Catheter blockage
1581	C0267953	Pancreatic necrosis
1582	C1142028	Peripheral nerve palsy
1583	C0476414	Thyroid function test abnormal
1584	C0877055	Acute generalised exanthematous pustulosis
1585	C0007078	Carbuncle
1586	C0085697	Pyelonephritis chronic
1587	C0239302	Oestrogen low
1588	C0521170	Osteoporotic fracture
1589	C0039614	Tetanus
1590	C0149904	Hepatitis cholestatic
1591	C0855977	Carotene decreased
1592	C0032708	Porphyrin metabolism disorder
1593	C0235573	Haemoglobinaemia
1594	C0005686	Bladder disorder
1595	C0026826	Hypertonia
1596	C0030326	Panniculitis
1598	C0460048	Large intestinal obstruction
1599	C0042721	Hepatitis viral
1600	C0867389	Chronic graft versus host disease
1601	C0024894	Mastitis
1602	C0004096	Asthma
1603	C1142159	Intentional misuse
1604	C0041667	Underweight
1605	C0014170	Endometrial neoplasm
1606	C0863113	Hypotension symptomatic
1607	C1142086	Vitamin E decreased
1608	C0238051	Vasculitis cerebral
1609	C0085610	Sinus bradycardia
1610	C0037763	Muscle spasms
1612	C0269993	Suppressed lactation
1613	C0041601	Ulna fracture
1614	C0234146	Areflexia
1615	C0235396	Hypertonicity
1616	C0920192	Descemetitis
1617	C0162638	Apoptosis
1618	C0856554	Hepatic cancer metastatic
1619	C0549273	Abdominal pain aggravated
1620	C0015806	Femoral neck fracture
1621	C0242151	Violent
1622	C0039520	Tenosynovitis
1623	C0233976	Clitoral engorgement
1624	C0232410	Hair growth increased
1625	C0751494	Convulsive seizure
1626	C1328411	Post procedural haematoma
1627	C0235667	Mastitis acute female
1628	C0236061	Haptoglobin increased
1629	C1142115	Enterocolitis infectious
1630	C0029095	Opioid abuse
1631	C0428895	Labile blood pressure
1632	C0235259	Cataract subcapsular
1633	C1963864	Myelodysplastic syndrome transformation
1634	C0522067	Hepatic pain
1635	C0595879	Sodium high
1636	C1861172	Venous thromboembolism
1637	C0019079	Haemoptysis
1638	C0426649	Bowel spasm
1639	C1561643	Chronic kidney disease
1640	C0231835	Tachypnoea
1641	C1168290	Drug-induced hypersensitivity syndrome
1642	C0030319	Panic disorder
1643	C0272774	Foot fracture
1644	C0520802	Radiation recall syndrome
1645	C0026961	Mydriasis
1646	C0235433	Fat tissue increased
1647	C0025500	Mesothelioma
1648	C0542175	Rash pemphigoid
1649	C0237314	Heart rate irregular
1650	C0041976	Urethritis
1651	C0751674	Lymphangioleiomyomatosis
1652	C0546343	Mucosal erosion
1653	C2242708	Hypertransaminasaemia
1654	C1557335	Ocular surface disease
1655	C1096035	Infusion site pain
1656	C0162823	Dermatitis irritant contact
1657	C0744369	Genital lesion
1658	C0023070	Laryngopharyngitis
1659	C0023182	Cerebrospinal fluid leakage
1660	C0221232	Welts
1661	C0270629	Extradural abscess
1662	C0236023	Periodontal destruction
1663	C0242301	Furuncle
1664	C0221021	Microangiopathic haemolytic anaemia
1665	C0948014	Red cell distribution width increased
1666	C0014038	Encephalitis
1667	C0085129	Bronchial hyperreactivity
1668	C0003910	Phonological disorder
1669	C0341751	Bladder necrosis
1670	C0919591	Urogenital haemorrhage
1671	C0011334	Dental caries
1672	C0857576	Thyroid function abnormal
1673	C0232333	Electrocardiogram U wave present
1674	C0007766	Intracranial aneurysm
1675	C0021605	Insomnia NEC
1676	C0403723	Candiduria
1677	C0341503	Peritonitis bacterial
1678	C0016722	Frigidity
1679	C0238844	Respiratory sounds decreased
1680	C0679401	Vascular rupture
1681	C2939427	Hypoesthesia tongue
1682	C0001127	Respiratory acidosis
1683	C1096278	Anterior chamber inflammation
1684	C0541820	Carbohydrate tolerance decreased
1685	C0853938	Nocturia aggravated
1686	C0004044	Asphyxia
1687	C0011206	Delirium
1688	C0853019	Blood thyroid stimulating hormone increased
1689	C0022667	Renal papillary necrosis
1690	C0156312	Testicular atrophy
1691	C0041657	Loss of consciousness
1692	C0235546	Hypopnoea
1693	C0151601	Conjunctival oedema
1694	C0427108	Unsteadiness
1695	C0002949	Artery dissection
1696	C0005959	Marrow hyperplasia
1697	C0020459	Hyperinsulinism
1698	C0235218	Skin warm
1699	C0162678	Neurofibromatosis
1700	C0221147	Platelet production decreased
1701	C0263530	Nail longitudinal striations
1702	C0302590	Disorder calcium (NOS)
1703	C0853924	Tinnitus aggravated
1704	C0541923	Lip oedema
1705	C0861111	Cardioactive drug level increased
1706	C0151729	Immunoglobulins increased
1707	C0860749	Blood neutrophil count decreased
1709	C1262168	Cholecystitis infective
1710	C0858249	Increased agitation
1711	C0036202	Sarcoidosis
1712	C0221725	Bronchial obstruction
1713	C0006261	Bronchial disorder
1714	C0235280	Ototoxicity
1715	C0007642	Cellulitis
1716	C0948048	Malignant neoplasm progression
1717	C0006112	Metabolic encephalopathy
1718	C0424296	Disinhibition
1719	C0178298	Unspecified disorder of skin and subcutaneous tissue
1720	C0036439	Scoliosis
1721	C0312414	Spotting menstrual
1722	C1096286	Transaminases decreased
1723	C0004606	Background diabetic retinopathy
1724	C0520594	Breast microcalcification
1725	C0853939	Oral mucosal discolouration
1726	C0235851	Hyperbilirubinemia aggravated
1727	C0264523	Pulmonary ossification
1728	C0234458	Abnormal dreams
1729	C0042850	Vitamin B complex deficiency
1730	C0234193	Sensation of heat
1731	C0156353	Uterovaginal prolapse
1732	C0152196	Spasm of accommodation
1733	C0009595	Obsessive-compulsive personality disorder
1734	C0232849	Bladder pain
1735	C0877717	Burning mouth
1736	C0740281	Multiple allergies
1737	C0019193	Hepatitis toxic
1738	C0232487	Abdominal discomfort
1739	C2930821	Keratitis sicca
1740	C0553706	Serum phosphate increased
1741	C0233414	Disturbance in attention
1742	C0231530	Muscle twitching
1743	C0549363	Hot dry skin
1744	C0853772	Blood calcium abnormal
1745	C1392046	Cardiovascular insufficiency
1746	C0235721	Heaviness in limbs
1747	C0541922	Eczema allergic atopic
1748	C0004030	Aspergillosis
1749	C0151474	Alcohol intolerance
1750	C0235472	Pulse abnormal
1751	C0272380	Tonsillar disorder
1753	C0234199	Pallanesthesia
1754	C2349423	Medication overuse headache
1755	C0006285	Bronchopneumonia
1756	C0221069	Anterior spinal artery syndrome
1757	C0860942	Creatine increased
1758	C0151536	Bronchostenosis
1759	C3241936	Non-cardiogenic pulmonary oedema
1760	C0158775	Spine malformation
1761	C0269189	Ectropion of cervix
1762	C0031048	Pericarditis constrictive
1763	C0235480	Paroxysmal atrial fibrillation
1764	C0000786	Abortion spontaneous
1765	C0014860	Oesophageal perforation
1766	C0003862	Arthralgia
1767	C0423791	Rash maculo-papular
1768	C0332798	Open wound
1770	C0010036	Corneal dystrophy
1771	C0038826	Superinfection
1773	C0852203	Fluoride increased
1774	C0151564	Cogwheel rigidity
1775	C0005716	Blastomycosis
1776	C0010823	Cytomegalovirus infection
1777	C2697368	Gastrointestinal tract irritation
1778	C1959622	Vein distended
1779	C0231919	Nasal dryness
1780	C0155111	Bullous keratopathy
1781	C0085620	Paralysis flaccid
1782	C0007099	Carcinoma in situ
1783	C0861171	Gritty feeling in eyes
1784	C0812387	Coldness
1785	C0036358	Schizophreniform disorder
1786	C0022650	Calculus of kidney
1787	C0019054	Haemolysis
1788	C2240374	Eosinophil count increased
1789	C0858833	Endometrial hypertrophy
1790	C0001126	Renal tubular acidosis
1791	C0011880	Diabetic ketoacidosis
1792	C1328552	Extrapulmonary pneumocystosis
1793	C0025218	Chloasma
1794	C0424786	Postoperative fever
1795	C0153392	Nasopharyngeal cancer
1796	C0030793	Pelvic neoplasm
1797	C0877617	Intestinal cramps
1798	C1096496	Blood testosterone free increased
1799	C0003507	Aortic valve stenosis
1800	C0234547	Drug withdrawal convulsions
1801	C1522058	Coagulation necrosis
1802	C0553686	Brain herniation
1803	C0011071	Sudden death
1804	C0236167	IUD complication
1805	C0009269	Cold intolerance
1806	C0854372	Mastication disorder
1807	C0151689	Hair discoloration
1808	C0242648	Vertical infection transmission
1809	C0405580	Adrenal cortical hypofunction
1810	C0013238	Dry eye syndrome
1811	C0002453	Amenorrhoea
1812	C0554976	Bradyphrenia
1813	C0700639	Congenital hypertrophic pyloric stenosis
1814	C0748055	Psychiatric decompensation
1815	C0235575	Hemolytic reaction
1816	C0236174	Reticuloendothelial system stimulated
1817	C0020581	Hyphaema
1818	C0877153	Neutropenic sepsis
1819	C0221100	Hangover
1820	C0010598	Cyclothymic disorder
1821	C0346989	Metastases to peritoneum
1822	C0152115	Orofacial dyskinesia
1823	C0748318	Progressive renal failure
1824	C0032768	Post herpetic neuralgia
1825	C0220994	Hyperammonaemia
1826	C0742906	C-reactive protein increased
1827	C0022568	Keratitis
1828	C0151998	Uterine spasm
1829	C0020302	Developmental glaucoma
1830	C0162287	Abnormal faeces
1831	C0236051	Tolerance development
1832	C1306587	Encephalopathy acute
1833	C0334660	Intravascular large B-cell lymphoma
1834	C1536070	Renal insufficiency aggravated
1835	C0278107	Painful ejaculation
1836	C0233773	Hypnagogic hallucination
1837	C0034050	Alveolar proteinosis
1838	C0700078	Tendon reflex decreased
1839	C0920103	Haematotoxicity
1840	C1510412	Vascular pseudoaneurysm
1841	C0740434	Direct bilirubin increased
1842	C0428886	Mean arterial pressure
1843	C0150077	Skin breakdown
1844	C1262106	Neuromuscular toxicity
1845	C0280313	Oropharyngeal squamous cell carcinoma
1846	C0221776	Oral pain
1847	C2981158	Loss of libido
1848	C0232861	Penile discharge
1849	C0034212	Pyoderma
1850	C2939420	Metastatic disease
1851	C0241934	Hypomania
1852	C1322253	Eczema infected
1853	C0151919	Bladder stenosis
1854	C0156394	Enlarged clitoris
1855	C0235006	Hypersensation skin
1856	C0406458	Diffuse alopecia
1857	C0541772	Ammonia increased
1858	C0003460	Anuria
1859	C0730328	Central serous retinopathy
1860	C0269268	Breast induration
1862	C3489393	Hiatus hernia
1863	C0162429	Malnutrition
1864	C0036508	Seborrhoeic dermatitis
1865	C0268800	Congenital renal cyst
1866	C0238807	Bone tenderness
1867	C0392548	Cauda equina syndrome
1868	C0241619	Vaginal cyst
1869	C0239998	Recurrent infection
1870	C0235074	Tongue paralysis
1871	C0002418	Amblyopia
1872	C0029878	Otitis externa
1873	C0005745	Eyelid ptosis
1874	C0038325	Stevens-Johnson syndrome
1875	C0852913	Blood amylase increased
1876	C1737214	Injection site injury
1877	C1536075	Sudden unexplained death in epilepsy
1878	C0849796	Ear congestion
1879	C0235821	Therapeutic response increased
1880	C0021899	IUD expelled
1881	C0234967	Choreoathetoid movements
1882	C0032131	Plasmacytoma
1883	C0740471	Creatinine abnormal NOS
1884	C1955743	Mineralocorticoid deficiency
1885	C0476463	Found dead
1886	C0149892	Gingival abscess
1887	C0151490	Congenital central nervous system anomaly
1888	C0400877	Postoperative ileus
1889	C0031925	Pilonidal cyst
1890	C0423813	Splitting nails
1891	C0581395	Penile infection
1892	C0011351	Hypoplasia enamel
1893	C1167745	Extremity necrosis
1894	C0024110	Lung abscess
1895	C0521160	Rash psoriaform
1896	C0521498	Injection site irritation
1897	C0155862	Pneumonia streptococcal
1898	C0151763	Hepatocellular injury
1899	C1096272	Vanishing bile duct syndrome
1900	C0855304	Glycosylated haemoglobin decreased
1901	C1697943	Epidermal growth factor receptor decreased
1902	C0522153	Urine color abnormal
1903	C1318314	Epithelial cells urine
1904	C0919603	Application site urticaria
1905	C0521554	Congenital vesicoureteric reflux
1906	C3160947	CNS toxicity
1907	C0521626	Bladder fibrosis
1908	C0267797	Hepatitis acute
1909	C0852810	Blood creatinine decreased
1910	C0861120	Albumin urine increased
1911	C0858678	Alopecia reversible
1912	C3160770	Minor bleed
1913	C0033948	Female orgasmic disorder
1914	C0037299	Skin ulcer
1915	C0037301	Skin wrinkling
1916	C0278883	Metastatic melanoma
1917	C0522351	Vertigo positional
1918	C0700613	Anxiety state
1919	C0178316	Upper limb fracture
1920	C0027709	Nephrocalcinosis
1921	C0042755	Virilism
1922	C0233415	Distractibility
1923	C0521501	Injection site thrombosis
1924	C0029574	Other dermatoses
1925	C0342405	Pituitary infarction
1926	C0853946	Pain worsened
1927	C0023798	Lipoma
1928	C0877047	Occult blood positive
1929	C0035410	Rhabdomyolysis
1930	C0019189	Chronic hepatitis
1931	C1142423	Staphylococcus aureus bacteremia
1932	C0017411	Genital disorder female
1933	C1283048	Iron binding capacity total
1935	C0238461	Anaplastic thyroid cancer
1936	C0595876	Calcium intoxication
1937	C0010032	Corneal abrasion
1938	C0850149	Dry cough
1939	C0151666	Gammaglobulins decreased
1940	C0037320	Sleep terror
1941	C1320835	Drug fever
1942	C0751837	Ataxic gait
1943	C0007103	Endometrial neoplasm malignant
1944	C0425591	Dropped beats
1945	C0007462	Causalgia
1946	C0403632	Cystitis noninfective
1947	C0234373	Tremor fine
1948	C0853893	Device interaction
1949	C0521839	Influenza like illness
1950	C0271710	Hypoglycemic reaction
1951	C0877468	Rash mouth
1952	C0860661	Oppositional
1953	C0006370	Bulimia
1954	C0341117	Esophageal erosions
1955	C0020635	Hypopituitarism
1956	C0426623	Excessive flatulence
1957	C0155170	Conjunctival cyst
1958	C0860514	Dreamy state
1959	C0027430	Nasal polyps
1960	C1504376	Unresponsive to verbal stimuli
1961	C0235315	Faeces discoloured
1962	C0852878	Non-accidental injury
1963	C0549310	Vaginal mycosis
1964	C1504411	Post procedural oedema
1965	C0853015	Blood growth hormone increased
1966	C0020569	Salivary gland enlargement
1967	C0404521	Vaginal infection
1968	C0948610	Abdominal strangulated hernia
1969	C0262576	Nerve paralysis
1970	C0030193	Pain
1971	C0438215	Laboratory test abnormal
1972	C0151662	Gamma-glutamyltransferase increased
1973	C0235678	Vaginal odour
1974	C0854268	Foetal damage
1975	C0392039	Ovarian enlargement
1976	C0030486	Paraplegia
1977	C0853028	Blood pH decreased
1978	C0241237	Dysstasia
1979	C0033036	Supraventricular extrasystoles
1980	C0235999	Pain neck/shoulder
1981	C0002103	Atopic rhinitis
1982	C0151468	Thyroid adenoma
1983	C1096225	Vessel puncture site haemorrhage
1984	C0860987	Phosphate low
1985	C0746883	Febrile neutropenia
1986	C0085622	Monoplegia
1987	C0392168	Emprosthotonus
1988	C0877128	Application site pustules
1989	C0740425	Taste altered
1990	C0856150	Spinal haematoma
1991	C0541799	Bad taste
1992	C0847631	Dry scalp
1993	C0085614	Atrioventricular block first degree
1994	C1096119	Cardiac valve replacement complication
1995	C1306503	Exomphalos
1996	C0018843	Heat stroke
1997	C0028259	Nodule
1998	C0263437	Acne infantile
1999	C0239511	Numbness facial
2000	C0235266	Eye irritation
2001	C0475319	Pelvic haematoma
2002	C0860493	Refractory hypertension
2003	C0948288	Conjunctival discharge
2004	C0549259	Anxiety aggravated
2005	C0858226	Plasma cholesterol increased
2006	C2747793	Acute phosphate nephropathy
2007	C0221046	Carotid sinus syndrome
2008	C0011991	Diarrhoea
2009	C0024314	Lymphoproliferative disorder
2010	C0276908	Pneumocystis jirovecii infection
2011	C0085271	Self injurious behaviour
2012	C0855335	Electrocardiogram ST segment abnormal
2013	C0000889	Acanthosis nigricans
2014	C0232124	Skipped beats
2015	C0031736	Polymorphic light eruption
2016	C0151603	Generalised oedema
2017	C0015967	Body temperature increased
2018	C0281856	Generalized aching
2020	C0031085	Abscess periodontal
2021	C2720436	Pleural fibrosis
2022	C0151544	Gastrointestinal carcinoma
2023	C0270327	Nocturnal enuresis
2024	C0347950	Asthmatic attack
2025	C0235710	Chest discomfort
2026	C0233754	Derealisation
2027	C0151726	Injection site hypersensitivity
2028	C0877104	Retinal toxicity
2029	C0332534	Induration
2031	C0948352	Injury asphyxiation
2032	C0235857	Lacrimation decreased
2033	C0457436	Hemiparesis (left)
2034	C0243001	Abdominal abscess
2035	C0025063	Mediastinum neoplasm
2036	C2939130	Other bacterial diseases
2037	C0235467	Angina pectoris aggravated
2038	C0031256	Petechiae
2039	C0852914	Bacteriuria NOS present
2040	C0035126	Reperfusion injury
2041	C0542313	Sleep talking
2042	C0263540	Onychomadesis
2043	C0848309	Rhinitis perennial
2044	C0541831	Choreiform
2045	C0856136	Fatigue aggravated
2046	C0332601	Cushingoid
2047	C0376175	Bell's palsy
2048	C0012624	Intervertebral discitis
2049	C0554309	Azotemia prerenal
2050	C0235639	Urine abnormality
2051	C0522061	Abdominal pain localised
2052	C0278016	Faeces hard
2053	C0232267	Pericardial rub
2054	C0029163	Mouth haemorrhage
2055	C0266241	Congenital absence of bile ducts
2056	C0521854	Drug tolerance decreased
2057	C0750194	Non-sustained ventricular tachycardia
2058	C0007134	Renal cell carcinoma
2059	C0040252	Body tinea
2060	C0429028	Electrocardiogram QT interval
2061	C0919662	Menstrual cycle prolonged
2062	C1536459	Nettle rash
2063	C0015469	Facial paralysis
2064	C0002063	Alkalosis
2065	C0271036	Retinal scar
2066	C0586553	Thyrotropin high
2067	C0030976	Perceptual distortions
2068	C0020532	Hypersplenism
2069	C0259768	Wound dehiscence
2070	C0263367	Koebner phenomenon
2071	C0020672	Body temperature decreased
2072	C0685938	Gastrointestinal neoplasm malignant
2073	C0012817	Diverticulum
2074	C0236171	Infection susceptibility increased
2075	C0403645	Atonic urinary bladder
2076	C0013363	Dysautonomia
2077	C0549473	Thyroid carcinoma
2078	C0234925	Oily skin
2079	C0221281	Poikilocytosis
2080	C0240464	Neck oedema of
2081	C0948715	Infusion related reaction
2082	C1740793	Post-tussive vomiting
2083	C0029464	Osteosclerosis
2084	C0221237	Angular cheilitis
2085	C0010828	Cytopenia
2086	C0235431	Blood creatinine increased
2087	C0520463	Hepatitis chronic active
2088	C0521491	Application site pain
2089	C0521481	Oedema mucosal
2090	C0854212	Subepithelial opacities
2091	C0235002	Head discomfort
2092	C0853714	Application site pruritus
2093	C0263591	Drug-induced lupus erythematosus
2094	C2721737	Application site stinging
2095	C0042065	Genitourinary tract neoplasm
2096	C0342592	Anion gap increased
2097	C0019555	Developmental hip dysplasia
2098	C0236178	Intra-abdominal haemorrhage
2099	C0549463	X-linked lymphoproliferative syndrome
2100	C0853875	Myoglobin urine present
2101	C0036749	Serositis
2102	C0032290	Pneumonia aspiration
2103	C1561230	Soft tissue necrosis
2104	C0155964	Atrophic glossitis
2105	C0221239	Glomerulonephritis rapidly progressive
2106	C0027441	Nasopharyngitis
2107	C0234934	Urticaria vesiculosa
2108	C0542223	Speech loss
2109	C0018500	Hair disorder
2110	C0156308	Penile oedema
2111	C0269173	Fallopian tube cyst
2112	C1504431	Idiopathic pneumonia syndrome
2113	C0948862	Detachment of retinal pigment epithelium
2114	C0549429	Surgical site reaction
2115	C0521987	Pre-existing disease
2116	C0857122	Hyponatraemic
2117	C0424091	Decreased interest
2118	C0455204	Homicidal ideation
2119	C0343863	Genital candidiasis
2120	C0023895	Liver disorder
2121	C0042138	Uterine neoplasm
2122	C0343494	Risus sardonicus
2123	C0948036	Gastric ulcer helicobacter
2124	C0029405	Brown tumour
2125	C0235093	Paralysis of bladder
2126	C1112192	Erythrosis
2127	C3203457	Procedural haemorrhage
2128	C0948333	Neutrophil percentage increased
2129	C0345903	Anal skin tags
2130	C0010038	Corneal opacity
2131	C0854146	Blood test abnormal
2132	C0013428	Dysuria
2133	C1112376	Optic disc vascular disorder
2134	C1456865	Calculus ureteric
2135	C0235942	Skull malformation
2136	C1142163	Intestinal mass
2137	C0240897	Retinal exudates
2138	C0521508	Injection site bruising
2139	C0393760	Initial insomnia
2140	C0239296	Oesophageal obstruction
2141	C0020579	Hypervitaminosis A
2142	C0039075	Syndactyly
2143	C0023518	Leukocytosis
2144	C1610049	Application site exfoliation
2145	C0155943	Arthralgia of temporomandibular joint
2146	C0877154	Visual brightness
2147	C0032227	Pleural effusion
2148	C0235763	Psoriasis flare-up
2149	C1112559	Pancreatitis due to biliary obstruction
2150	C0233931	Nocturnal emission
2151	C0948779	Gastrointestinal hypomotility
2152	C0549609	Dysfunction adrenal
2153	C0003130	Anoxia
2154	C1096691	BK virus infection
2155	C0423602	Sensation of foreign body
2156	C0155626	Acute myocardial infarction
2157	C0740292	5'nucleotidase increased
2158	C0341212	Gastrointestinal fistula
2159	C0020546	Hypertensive crisis
2160	C0428977	Bradycardia
2161	C0220870	Lightheadedness
2162	C0221203	Rash vesicular
2163	C0742006	Catheter infection
2164	C1142492	Postinfarction angina
2165	C0232933	Menstrual cycle abnormal
2166	C0007758	Cerebellar ataxia
2167	C0699828	Serotonin syndrome
2168	C0853326	Dyspnoea exacerbated
2169	C0575090	Balance disorder
2170	C0234987	Dizziness postural
2171	C0042996	Vulvitis
2172	C0234518	Slurred speech
2173	C0333604	Chrysiasis
2174	C0155503	Vertigo CNS origin
2175	C0038999	Swelling
2176	C1328407	Hip dysplasia
2177	C0751495	Partial seizures
2178	C0276684	Balanitis candida
2179	C0521540	Brain stem haemorrhage
2180	C1142358	Lactic acidosis syndrome
2181	C0849925	Ventricular failure
2182	C0085642	Livedo reticularis
2183	C0006826	Neoplasm malignant
2184	C0019123	Haemothorax
2185	C0019621	Langerhans' cell histiocytosis
2186	C0013456	Ear pain
2187	C2712122	Blood pressure normal
2188	C0857093	Elevated liver enzyme levels
2189	C0948811	Artificial kidney clotting during dialysis
2190	C0600327	Toxic shock syndrome
2191	C0031036	Polyarteritis nodosa
2192	C0851886	Pneumocystis carinii infection
2193	C0009946	Conversion disorder
2194	C0854165	Conjunctivitis papillary
2195	C0333355	Mucosal inflammation
2196	C0026650	Movement disorder
2197	C0001198	Acrodynia
2198	C0412784	Analgesic therapy
2199	C0853974	Blood gonadotrophin decreased
2200	C0857246	Red neck
2201	C0877325	Anal sphincter atony
2202	C0541798	Terminal insomnia
2203	C0856049	Peripheral embolism
2204	C0858520	Serum gastrin increased
2205	C0039128	Syphilis
2206	C1096460	Infusion site phlebitis
2207	C0541881	Difficulty focusing eyes
2208	C0152081	Pustular psoriasis
2209	C0542243	Toxic reaction (NOS)
2210	C0036220	Kaposi's sarcoma
2211	C0857370	Generalized flushing
2212	C0005747	Blepharospasm
2213	C0023449	Acute lymphocytic leukaemia
2214	C0919907	Pleural infection
2215	C0178282	Abdominal hernia
2216	C0151511	Breast atrophy
2217	C0007815	Cerebrospinal fluid rhinorrhea
2218	C1140716	Hypoxic-ischaemic encephalopathy
2219	C0853226	International normalised ratio decreased
2220	C0345996	Milia
2221	C0010414	Cryptococcosis
2222	C0042143	Uterine rupture
2223	C0033375	Prolactinoma
2224	C0085641	Rash pustular
2225	C0877232	Peripheral swelling
2226	C0235557	Pulmonary granuloma
2227	C0011849	Diabetes mellitus
2228	C0235592	Lymphadenopathy cervical
2229	C0268105	Uricaciduria
2230	C0576995	Pharyngeal haemorrhage
2231	C0005858	Bloodshot eye
2232	C1167779	Neutropenic infection
2233	C0857056	Blotchy rash
2234	C0858598	Taste salty
2235	C0919892	Blood pressure inadequately controlled
2236	C0006107	Concussion
2237	C0267792	Hepatobiliary disease
2238	C0543392	Feces bloodstained
2239	C0853697	Neutrophil count decreased
2240	C0007684	Central nervous system infection
2241	C0347602	Retinal injury
2242	C0340279	Ventricular hypertrophy
2243	C0267410	Mesenteric artery thrombosis
2244	C0851883	Neisseria infection
2245	C3665596	Warts
2246	C0236124	Gastrointestinal obstruction
2247	C0011303	Demyelination disorder NOS
2248	C0159056	Abnormal chest sounds NOS
2249	C0849835	Lip haemorrhage
2250	C1142249	Infected cyst
2251	C0264995	Arterial occlusion
2252	C0863070	Catheter site related reaction
2253	C0406834	Wound secretion
2254	C0162627	Skin bacterial infection
2255	C0700201	Dyssomnia
2256	C0085611	Atrial arrhythmia
2257	C0854111	Blood triglycerides decreased
2258	C0020440	Hypercapnia
2259	C0555724	Lip dry
2260	C0017412	Genital disorder male
2261	C0162810	Hypertrophic scar
2262	C0861148	Proarrhythmia
2263	C0010278	Craniosynostosis
2264	C1264610	Infectious peritonitis
2265	C0031037	Periarthritis
2266	C0948447	Chromosomal mutation
2267	C0521592	Hypoaesthesia oral
2268	C0870082	Hyperkeratosis
2269	C0004158	Athetosis
2270	C0234906	Erythema annulare
2271	C0234708	Intraocular pressure increased
2272	C0036529	Cardiomyopathy secondary NOS
2273	C0008033	Pleuritic pain
2274	C0740330	Genital infection fungal
2275	C0008313	Cholangitis sclerosing
2276	C0400839	Rectal ulcer
2277	C1096658	Urine phosphorus increased
2278	C0040264	Tinnitus
2279	C0014863	Oesophageal spasm
2280	C0392163	Corneal erosion
2281	C0003850	Arteriosclerosis
2282	C1306341	Mental disability
2283	C0085128	Cardiac output increased
2284	C0040997	Trigeminal neuralgia
2285	C0151599	Drug level increased
2286	C0221166	Paraparesis
2287	C0021290	Neonatal disorder
2288	C0262593	Peripheral nerve injury
2289	C0002624	Retrograde amnesia
2290	C0035302	Retinal artery occlusion
2291	C3544174	Perineal injury
2292	C0267055	Erosive oesophagitis
2293	C0860195	Acute fatty liver
2294	C0241012	Serum ferritin decreased
2295	C0085593	Chills
2296	C0428167	Fraction of inspired oxygen
2297	C0853777	Blood albumin decreased
2298	C0020523	Type I hypersensitivity
2299	C0022116	Ischaemia
2300	C0034735	Raynaud's phenomenon
2301	C0019159	Hepatitis A
2302	C0876991	Histiocytosis haematophagic
2303	C2937228	Tunnel vision
2304	C0004239	Atrial flutter
2305	C0919866	Eye naevus
2306	C0085582	Neuritis retrobulbar
2307	C0877359	Raised liver function tests
2308	C1291077	Abdominal bloating
